Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Interactions > Participant 2 > Standard Name	Gene > Interactions > Participant 2 . Secondary Identifier	Gene > Interactions > Participant 2 . Primary Identifier	Gene > Interactions > Details > Relationship Type
S000000022	YAL024C	LTE1	EMI2	YDR516C	S000002924	genetic
S000000022	YAL024C	LTE1	EMI2	YDR516C	S000002924	physical
S000000022	YAL024C	LTE1	END3	YNL084C	S000005028	genetic
S000000022	YAL024C	LTE1	ENO1	YGR254W	S000003486	physical
S000000022	YAL024C	LTE1	ENO2	YHR174W	S000001217	physical
S000000022	YAL024C	LTE1	EPL1	YFL024C	S000001870	genetic
S000000022	YAL024C	LTE1	EPL1	YFL024C	S000001870	genetic
S000000022	YAL024C	LTE1	ERG25	YGR060W	S000003292	genetic
S000000022	YAL024C	LTE1	ESA1	YOR244W	S000005770	genetic
S000000022	YAL024C	LTE1	ESA1	YOR244W	S000005770	genetic
S000000022	YAL024C	LTE1	ESP1	YGR098C	S000003330	genetic
S000000022	YAL024C	LTE1	ESP1	YGR098C	S000003330	genetic
S000000022	YAL024C	LTE1	ESP1	YGR098C	S000003330	genetic
S000000022	YAL024C	LTE1	ESP1	YGR098C	S000003330	genetic
S000000022	YAL024C	LTE1	FAB1	YFR019W	S000001915	genetic
S000000022	YAL024C	LTE1	FAB1	YFR019W	S000001915	genetic
S000000022	YAL024C	LTE1	FDO1	YMR144W	S000004752	genetic
S000000022	YAL024C	LTE1	FDO1	YMR144W	S000004752	genetic
S000000022	YAL024C	LTE1	FKH1	YIL131C	S000001393	genetic
S000000022	YAL024C	LTE1	FKH2	YNL068C	S000005012	genetic
S000000022	YAL024C	LTE1	FKH2	YNL068C	S000005012	genetic
S000000022	YAL024C	LTE1	FLO8	YER109C	S000000911	physical
S000000022	YAL024C	LTE1	FPK1	YNR047W	S000005330	genetic
S000000022	YAL024C	LTE1	FSF1	YOR271C	S000005797	genetic
S000000022	YAL024C	LTE1	FUS3	YBL016W	S000000112	genetic
S000000022	YAL024C	LTE1	GAD1	YMR250W	S000004862	physical
S000000022	YAL024C	LTE1	GCR2	YNL199C	S000005143	genetic
S000000022	YAL024C	LTE1	GCR2	YNL199C	S000005143	genetic
S000000022	YAL024C	LTE1	GCR2	YNL199C	S000005143	genetic
S000000022	YAL024C	LTE1	GDH2	YDL215C	S000002374	genetic
S000000022	YAL024C	LTE1	GEF1	YJR040W	S000003801	genetic
S000000022	YAL024C	LTE1	GEP4	YHR100C	S000001142	genetic
S000000022	YAL024C	LTE1	GIC1	YHR061C	S000001103	genetic
S000000022	YAL024C	LTE1	GIC1	YHR061C	S000001103	genetic
S000000022	YAL024C	LTE1	GIC2	YDR309C	S000002717	genetic
S000000022	YAL024C	LTE1	GIC2	YDR309C	S000002717	genetic
S000000022	YAL024C	LTE1	GIC2	YDR309C	S000002717	genetic
S000000022	YAL024C	LTE1	GIM3	YNL153C	S000005097	genetic
S000000022	YAL024C	LTE1	GIM5	YML094W	S000004559	genetic
S000000022	YAL024C	LTE1	GLC8	YMR311C	S000004928	genetic
S000000022	YAL024C	LTE1	GLK1	YCL040W	S000000545	physical
S000000022	YAL024C	LTE1	GLT1	YDL171C	S000002330	physical
S000000022	YAL024C	LTE1	GLY1	YEL046C	S000000772	physical
S000000022	YAL024C	LTE1	GPD2	YOL059W	S000005420	genetic
S000000022	YAL024C	LTE1	GPI11	YDR302W	S000002710	genetic
S000000022	YAL024C	LTE1	GPI18	YBR004C	S000000208	genetic
S000000022	YAL024C	LTE1	GPM1	YKL152C	S000001635	physical
S000000022	YAL024C	LTE1	GRX5	YPL059W	S000005980	genetic
S000000022	YAL024C	LTE1	GSP2	YOR185C	S000005711	genetic
S000000022	YAL024C	LTE1	GUA1	YMR217W	S000004830	physical
S000000022	YAL024C	LTE1	HCA4	YJL033W	S000003570	genetic
S000000022	YAL024C	LTE1	HDA1	YNL021W	S000004966	genetic
S000000022	YAL024C	LTE1	HEF3	YNL014W	S000004959	physical
S000000022	YAL024C	LTE1	HEK2	YBL032W	S000000128	genetic
S000000022	YAL024C	LTE1	HEM1	YDR232W	S000002640	genetic
S000000022	YAL024C	LTE1	HEM1	YDR232W	S000002640	physical
S000000022	YAL024C	LTE1	HEM14	YER014W	S000000816	genetic
S000000022	YAL024C	LTE1	HFI1	YPL254W	S000006175	genetic
S000000022	YAL024C	LTE1	HHF1	YBR009C	S000000213	genetic
S000000022	YAL024C	LTE1	HHF2	YNL030W	S000004975	genetic
S000000022	YAL024C	LTE1	HIT1	YJR055W	S000003816	genetic
S000000022	YAL024C	LTE1	HIT1	YJR055W	S000003816	genetic
S000000022	YAL024C	LTE1	HIT1	YJR055W	S000003816	genetic
S000000022	YAL024C	LTE1	HMO1	YDR174W	S000002581	genetic
S000000022	YAL024C	LTE1	HOS1	YPR068C	S000006272	genetic
S000000022	YAL024C	LTE1	HOS1	YPR068C	S000006272	genetic
